ID,order_ID,station_ID,material_ID,serialNo,batchNo,installedSpec,installedAt
95bcea38-b334-48f0-b07c-444228a2fc9d,6ce1ace2-665b-4646-9eea-a1054d81b54b,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-488162,,"400V/5,5kW",2026-06-02T06:03:00Z
fac5d9ea-954c-4c65-a17e-1292a4e535f4,6ce1ace2-665b-4646-9eea-a1054d81b54b,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-56566,,,2026-06-02T06:06:00Z
64cfbd66-161d-4477-994e-0dd04c75dbe6,6ce1ace2-665b-4646-9eea-a1054d81b54b,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-900,,2026-06-02T06:08:00Z
1ec3e007-c0e0-4192-aeed-2bd2e6a53a4d,6ce1ace2-665b-4646-9eea-a1054d81b54b,afba19a3-31c7-44fe-8853-5bea81b159cc,a88adc15-405d-492d-84b7-a8046a56de5b,,,,2026-06-02T06:10:00Z
7bbbce3f-a183-4fc3-9244-3c3476b6b92b,6ce1ace2-665b-4646-9eea-a1054d81b54b,eff5fdc4-a844-445c-be8a-c6e769ded30d,d73647ed-2c25-4925-8ccd-ffaadc0326d7,SV-319684,,10 bar,2026-06-02T06:12:00Z
df547234-015f-416b-bfa3-5e8a76c2f857,6ce1ace2-665b-4646-9eea-a1054d81b54b,eff5fdc4-a844-445c-be8a-c6e769ded30d,0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-802729,,,2026-06-02T06:13:00Z
64bceb6a-0f69-4e6e-a8f3-82d60ef3e826,6ce1ace2-665b-4646-9eea-a1054d81b54b,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,6f54c3fa-51ba-41d4-be3c-a2f115df7047,,,,2026-06-02T06:15:00Z
8d4255fb-b18d-4a56-97b6-9b5c72cd3233,6ce1ace2-665b-4646-9eea-a1054d81b54b,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,,DG-2024-500,,2026-06-02T06:16:00Z
b6fba840-d3d3-4b82-91c2-59b4dfa2bc29,6ce1ace2-665b-4646-9eea-a1054d81b54b,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,a3514a86-f23b-4592-a652-a63a1cfc4c53,AN-379946,,US,2026-06-02T06:17:00Z
5b4dae17-a2f7-4e4f-abad-f06fbd4b1f73,97a76885-f41a-48a1-b6d1-00eb57ced37f,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-267753,,"400V/5,5kW",2026-06-02T06:21:00Z
d8fb54ab-7806-4f7d-a996-ef934afa6630,97a76885-f41a-48a1-b6d1-00eb57ced37f,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-99192,,,2026-06-02T06:24:00Z
6ff28efc-2510-4b65-9ec7-b0e564cb2293,97a76885-f41a-48a1-b6d1-00eb57ced37f,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-900,,2026-06-02T06:26:00Z
e8a8cd13-7fc7-4f51-a336-27ee8740eb46,97a76885-f41a-48a1-b6d1-00eb57ced37f,afba19a3-31c7-44fe-8853-5bea81b159cc,a88adc15-405d-492d-84b7-a8046a56de5b,,,,2026-06-02T06:28:00Z
b190a39a-56fb-4a24-983b-383e3c15a034,97a76885-f41a-48a1-b6d1-00eb57ced37f,eff5fdc4-a844-445c-be8a-c6e769ded30d,d73647ed-2c25-4925-8ccd-ffaadc0326d7,SV-542666,,10 bar,2026-06-02T06:30:00Z
c76e25f6-c8c7-43dc-be11-2b9085c688b3,97a76885-f41a-48a1-b6d1-00eb57ced37f,eff5fdc4-a844-445c-be8a-c6e769ded30d,0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-725380,,,2026-06-02T06:31:00Z
fde964c3-640f-4c4b-83d6-2ce871d578b3,97a76885-f41a-48a1-b6d1-00eb57ced37f,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,6f54c3fa-51ba-41d4-be3c-a2f115df7047,,,,2026-06-02T06:33:00Z
5dca144b-e765-4544-b192-91dafbe2a6e1,97a76885-f41a-48a1-b6d1-00eb57ced37f,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,,DG-2024-500,,2026-06-02T06:34:00Z
36f7fe5b-ad41-41ec-94c6-5737ceece9ef,97a76885-f41a-48a1-b6d1-00eb57ced37f,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,4c021d7e-b87e-4aa1-95ed-fce5653ded5a,AN-166613,,EU,2026-06-02T06:35:00Z
e8ca2878-6e5f-49b8-9387-f1473e18d408,831f6d19-9bb6-4d84-8c0c-0f1ca309ef20,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-234628,,"400V/5,5kW",2026-06-02T06:39:00Z
a7cc78e5-b3e4-40d6-bc4e-fe031991331a,831f6d19-9bb6-4d84-8c0c-0f1ca309ef20,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-96474,,,2026-06-02T06:42:00Z
b7c45881-4fb9-4c0e-8204-c378517dbc44,831f6d19-9bb6-4d84-8c0c-0f1ca309ef20,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-900,,2026-06-02T06:44:00Z
76962e27-28fd-43fd-8598-673260cce191,831f6d19-9bb6-4d84-8c0c-0f1ca309ef20,afba19a3-31c7-44fe-8853-5bea81b159cc,a88adc15-405d-492d-84b7-a8046a56de5b,,,,2026-06-02T06:46:00Z
8c204188-4103-4ff1-ab70-388e2aa35134,831f6d19-9bb6-4d84-8c0c-0f1ca309ef20,eff5fdc4-a844-445c-be8a-c6e769ded30d,d73647ed-2c25-4925-8ccd-ffaadc0326d7,SV-598369,,10 bar,2026-06-02T06:48:00Z
bb0ae86a-cf9c-42f8-b1ad-207c8c8b54ad,831f6d19-9bb6-4d84-8c0c-0f1ca309ef20,eff5fdc4-a844-445c-be8a-c6e769ded30d,0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-676510,,,2026-06-02T06:49:00Z
e5b6f90e-8469-4bbc-9f5e-61a78aad0ce9,831f6d19-9bb6-4d84-8c0c-0f1ca309ef20,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,6f54c3fa-51ba-41d4-be3c-a2f115df7047,,,,2026-06-02T06:51:00Z
5f43afe0-0583-4c1e-b98e-118c229cafef,831f6d19-9bb6-4d84-8c0c-0f1ca309ef20,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,,DG-2024-500,,2026-06-02T06:52:00Z
7ab3333f-2358-4841-b128-814978c7732a,831f6d19-9bb6-4d84-8c0c-0f1ca309ef20,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,4c021d7e-b87e-4aa1-95ed-fce5653ded5a,AN-273148,,EU,2026-06-02T06:53:00Z
1c387e58-6549-4d88-8a80-dbedfb64135f,f988d12e-47e2-4aa2-b6fe-fd6990383045,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-589710,,"400V/5,5kW",2026-06-02T06:57:00Z
9ef8853c-48a7-4455-9cf9-fb4cbb91ca70,f988d12e-47e2-4aa2-b6fe-fd6990383045,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-17100,,,2026-06-02T07:00:00Z
661c33fb-cc9b-4945-9364-c4a866a92ae7,f988d12e-47e2-4aa2-b6fe-fd6990383045,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-883,,2026-06-02T07:02:00Z
5e9c037c-fc48-4219-8959-53c8d8aafb29,f988d12e-47e2-4aa2-b6fe-fd6990383045,afba19a3-31c7-44fe-8853-5bea81b159cc,a88adc15-405d-492d-84b7-a8046a56de5b,,,,2026-06-02T07:04:00Z
b0ad34a6-1410-4060-ac1c-9b1dd25f8f60,f988d12e-47e2-4aa2-b6fe-fd6990383045,eff5fdc4-a844-445c-be8a-c6e769ded30d,50a98417-b614-4dab-b3d5-bd357b569c1c,SV-806073,,8 bar,2026-06-02T07:06:00Z
3cf18c47-5c88-4641-8e74-a809f6595e75,f988d12e-47e2-4aa2-b6fe-fd6990383045,eff5fdc4-a844-445c-be8a-c6e769ded30d,0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-785197,,,2026-06-02T07:07:00Z
00380a19-09be-4dc9-818c-97ae2089974d,f988d12e-47e2-4aa2-b6fe-fd6990383045,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,6f54c3fa-51ba-41d4-be3c-a2f115df7047,,,,2026-06-02T07:09:00Z
e35ea6f3-ac16-45d3-91b8-45ee6c749fd8,f988d12e-47e2-4aa2-b6fe-fd6990383045,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,,DG-2024-500,,2026-06-02T07:10:00Z
f6e30ec5-ef54-4205-8e17-4ace7eafe543,f988d12e-47e2-4aa2-b6fe-fd6990383045,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,a3514a86-f23b-4592-a652-a63a1cfc4c53,AN-777568,,US,2026-06-02T07:11:00Z
d0b8b349-0705-4f34-92e2-0eb28b07a74f,eb079648-d9ab-4524-88d0-93d4726c220e,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-994141,,"400V/5,5kW",2026-06-02T07:15:00Z
b46c3920-7aff-4ef0-9d3d-067960d7c705,eb079648-d9ab-4524-88d0-93d4726c220e,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-79615,,,2026-06-02T07:18:00Z
ab4694cd-9512-4f58-8e7a-09a72fe44aa9,eb079648-d9ab-4524-88d0-93d4726c220e,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-883,,2026-06-02T07:20:00Z
316ff579-67a9-4fdb-9346-5f8b5fdf2595,eb079648-d9ab-4524-88d0-93d4726c220e,afba19a3-31c7-44fe-8853-5bea81b159cc,a88adc15-405d-492d-84b7-a8046a56de5b,,,,2026-06-02T07:22:00Z
f476324b-2868-4251-b0dc-5dbfbe81c54d,eb079648-d9ab-4524-88d0-93d4726c220e,eff5fdc4-a844-445c-be8a-c6e769ded30d,d73647ed-2c25-4925-8ccd-ffaadc0326d7,SV-265080,,10 bar,2026-06-02T07:24:00Z
dd0a3808-6ea1-4253-a35b-805eecf20513,eb079648-d9ab-4524-88d0-93d4726c220e,eff5fdc4-a844-445c-be8a-c6e769ded30d,0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-159642,,,2026-06-02T07:25:00Z
593e1353-001b-4404-8978-f77b1258631e,eb079648-d9ab-4524-88d0-93d4726c220e,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,6f54c3fa-51ba-41d4-be3c-a2f115df7047,,,,2026-06-02T07:27:00Z
86aff850-be79-4305-b65c-333190d3d7b7,eb079648-d9ab-4524-88d0-93d4726c220e,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,,DG-2024-500,,2026-06-02T07:28:00Z
af6a6a6f-b6ec-4f66-b84a-479eee3142ab,eb079648-d9ab-4524-88d0-93d4726c220e,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,a3514a86-f23b-4592-a652-a63a1cfc4c53,AN-632496,,US,2026-06-02T07:29:00Z
8d9e1712-25f6-4be8-86f9-3b6a66f8721d,0b845d1e-c265-4e24-9f5f-6e7bdc8d536d,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-800305,,"400V/5,5kW",2026-06-02T07:33:00Z
537c418a-de6f-4936-a583-6fc4f6e535d0,0b845d1e-c265-4e24-9f5f-6e7bdc8d536d,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-82692,,,2026-06-02T07:36:00Z
fe635f03-531c-4d31-a811-ac5b7ac460a6,0b845d1e-c265-4e24-9f5f-6e7bdc8d536d,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-900,,2026-06-02T07:38:00Z
c103024c-c869-4562-8be7-6f80a8abfbcf,0b845d1e-c265-4e24-9f5f-6e7bdc8d536d,afba19a3-31c7-44fe-8853-5bea81b159cc,a88adc15-405d-492d-84b7-a8046a56de5b,,,,2026-06-02T07:40:00Z
